"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.93497947510949","-3.08910979344633","4.07393038630515","7.47549381985924","-1.01921152192513","9.14274114007718","4.76622079417474","0.616713218243817","-3.15053479556273","8.95772483812387","4.21369628776971","1.4908946307052","12.4624890218238","14.2757064472561","-5.13205559312389","","","","","","",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.8458625785041","8.51807548459762","11.8494357130313","15.9452056286115","16.7817982122344","16.4898522419854","23.3830940695054","20.6310375595965","16.9317015531437","13.3548132502179","12.3511666824288","13.5823491338182","11.8842380097658","10.8647334171947","8.59546076702887","10.8788153608958","5.94419838558117","5.93612697628238","6.89621119234079","7.32623756493138","6.93515136785649","6.71076754092314","4.53723988274","3.87984510184818","4.93312884702119","0.797174559277877","2.22815851401738","1.49955918228019","2.73197732841712","29.2262783221598","2.76941191051621","3.40106458146587","2.87920234926831","3.35034091768884","3.10029281587185","3.19940792411617","3.86991695573633","1.98010250710132","0.00010923000361629","1.60039701355861","2.49972900088144","1.09996692248269","-0.000194384952720839","","",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.715672373963","11.2427294014823","10.9002679905063","7.17126073468187","22.3820157780035","2.17910328500052","-2.10708255443797","9.43779477259656","10.5611392868639","8.3047608561584","4.71753117867833","0.243080562490022","",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.72373541607564","-7.32159407173866","-5.30303028572969","49.4023904100798","0.300902726926068","169.905533047493","249.087003200204","1273.99121459601","2127.60986283547","1895.32408898457","5399.5068518289","94.3195709613763","35.316825217245","556.939256817328","418.232953900317","106.322492408085","196.576793109908","","","","","","","","","","","","","",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.17736047335944","-0.017694288114015","-0.0167472951320633","-0.028354047802452","0.351197545147699","-2.37800113240307","2.86176310169139E-05","1.37766808450124E-06","-1.88781119447867E-06","-0.46870736419497","38.5683420713042","249.683437477533","114.835647695995","38.4164948024399","5.57330746066809","41.2755945031473","12.0887058980655","8.43236783768029","1.53333078004749","3.98128802586544","3.32885109049468","2.41058972790256","5.37972440765185","2.35708418542453","2.62101763278663","2.69604925742246","3.57619480269398","3.85766181414662","2.42263423151144","4.48998143322825","2.31020106864396","1.03996061312961","0.218876851820383","0.991263932759239","",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","1.3037897449807","3.23596567499563","6.88471890461126","2.69895562625349","12.182925809092","26.922678496963","5.13941317409039","7.52452758433751","9.72401205846745","5.92516980102796","15.0505675967644","20.028344929588","11.4320776588777","6.29265555986878","7.01242375392184","6.57054744134373","4.4784201966029","4.88397435398975","9.36808988985499","5.03381211932012","8.40158927456498","14.28279390074","7.61051704037217","5.11898581538506","4.54566555695137","7.89003053632936","6.68404131896827","5.77304391647398","2.51989255360957","-0.299401034925182","5.81165476807901","10.1477408095004","0.783063654216789","3.56464237045269","5.70461192312841","10.8499541456777","11.9664316104799","8.84253138133646","6.66943396846374","14.3666350340505","-4.36555039831296","11.0846031929938","15.2936032962771","4.3472308517988","1.49023583880099","0.175079588914315","",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","11.7743313726959","5.25575609812852","-3.66111151479214","7.05102054499169","9.51597605017727","7.05448398662503","1.31286873100042","-3.61801722409237","-6.09746719206956","0.740532899812351","-1.69848531224136","3.68558479725063","2.3810457481282","1.75127659589577","3.33590051280306","0.81084872586257","1.80682610941712","1.27803630461915","-0.262474917208692","3.90747974672838","5.77304391647398","-0.952300716272092","-4.2544453162615","8.44337744949762","11.4595358056523","-2.3493076693014","3.77083954516183","4.0724067940058","8.5014220540065","16.526016881078","11.957075012285","12.5393412154707","18.5333530880511","-15.1829798846935","11.0034924283789","15.8100884122899","0.23553586468141","-0.609568487313211","-1.34273631927969","",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975252927","28.871841651733","25.5911543481736","28.7746173195632","21.232934923521","25.603462426397","29.0182629356078","10.2753105574405","7.79583003660575","6.46787463937947","31.2710638825754","64.2447859181759","65.5352873661712","30.6304413715771","197.697364540376","438.32277972422","159.427177705707","161.372172005774","147.377044038694","90.8408016189505","106.364099000329","207.617681377163","382.349434879119","606.735941194092","625.802140256707","74.4614934034168","127.086376418998","388.491338916035","3057.62883602966","2076.79347310304","132.953228174247","11.9207602185255","-1.46665995066148","2.84933972069108","3.16512339504939","-0.0523754923663375","-0.463913134133691","-1.7052796372015","-1.8365583782151","1.03728709049842","-1.09576770450192","30.5552040288409","10.4957030419557","30.7368641700149","10.6201555452166","15.2424334139013","17.6789209711745","21.2456715033139","9.88504085289779","17.2105724723852","17.7976859991023","18.6664479868475","19.7124714130445","29.3413646026982","",
"Armenia","ARM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3861042955971","568.807329969521","1391.16646056479","4107.29678609752","161.163917562694","19.5917703037548","17.73599450746","10.6984977480797","0.053804078495574","-1.37367599737229","4.06913993974796","2.36978781252253","4.5610983976887","6.30953271659584","3.2398362525059","4.61985766605846","4.23277038228153","5.98956235944519","2.55693505380631","7.76871548180418","4.28154999831665","5.34580441586994","3.36682464224465","2.71611112873869","",
"American Samoa","ASM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
